GUBERNATORIAL 2018 IN MICHIGAN
,
Office,State,RaceDate,CensusPop,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
Governor,Michigan,20181106,"10,942",ALCONA,"3,408","Schuette, Bill",Challenger,"1,982","Whitmer, Gretchen",Challenger,L,40,"Gelineau, Bill",Challenger,104,"1,426",R,.72,63.23,36.77,,,"Schleiger, Todd (U.S. Taxpayers) 42; Kurland, Jennifer V. (Green) 41; Butkovich, Keith (Natural Law) 21; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"9,601",ALGER,"2,097","Schuette, Bill",Challenger,"1,950","Whitmer, Gretchen",Challenger,L,42,"Gelineau, Bill",Challenger,70,147,R,1.01,51.82,48.18,,,"Schleiger, Todd (U.S. Taxpayers) 29; Kurland, Jennifer V. (Green) 33; Butkovich, Keith (Natural Law) 8; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"111,408",ALLEGAN,"28,648","Schuette, Bill",Challenger,"19,497","Whitmer, Gretchen",Challenger,L,839,"Gelineau, Bill",Challenger,869,"9,151",R,1.68,59.50,40.50,,,"Schleiger, Todd (U.S. Taxpayers) 366; Kurland, Jennifer V. (Green) 367; Butkovich, Keith (Natural Law) 136; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"29,598",ALPENA,"7,031","Schuette, Bill",Challenger,"5,595","Whitmer, Gretchen",Challenger,L,161,"Gelineau, Bill",Challenger,285,"1,436",R,1.23,55.69,44.31,,,"Schleiger, Todd (U.S. Taxpayers) 112; Kurland, Jennifer V. (Green) 127; Butkovich, Keith (Natural Law) 46; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"23,580",ANTRIM,"7,480","Schuette, Bill",Challenger,"5,025","Whitmer, Gretchen",Challenger,L,163,"Gelineau, Bill",Challenger,232,"2,455",R,1.26,59.82,40.18,,,"Schleiger, Todd (U.S. Taxpayers) 91; Kurland, Jennifer V. (Green) 93; Butkovich, Keith (Natural Law) 48; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"15,899",ARENAC,"3,881","Schuette, Bill",Challenger,"2,631","Whitmer, Gretchen",Challenger,L,99,"Gelineau, Bill",Challenger,147,"1,250",R,1.46,59.60,40.40,,,"Schleiger, Todd (U.S. Taxpayers) 65; Kurland, Jennifer V. (Green) 53; Butkovich, Keith (Natural Law) 28; Rowley, Francis L. (Write-in) 1; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"8,860",BARAGA,"1,789","Schuette, Bill",Challenger,"1,356","Whitmer, Gretchen",Challenger,L,37,"Gelineau, Bill",Challenger,55,433,R,1.14,56.88,43.12,,,"Schleiger, Todd (U.S. Taxpayers) 25; Kurland, Jennifer V. (Green) 21; Butkovich, Keith (Natural Law) 9; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"59,173",BARRY,"15,573","Schuette, Bill",Challenger,"10,272","Whitmer, Gretchen",Challenger,L,495,"Gelineau, Bill",Challenger,518,"5,301",R,1.84,60.26,39.74,,,"Schleiger, Todd (U.S. Taxpayers) 237; Kurland, Jennifer V. (Green) 199; Butkovich, Keith (Natural Law) 81; Space, Evan (Write-in) 1; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"107,771",BAY,"21,847","Schuette, Bill",Challenger,"23,159","Whitmer, Gretchen",Challenger,L,661,"Gelineau, Bill",Challenger,864,"1,312",D,1.42,48.54,51.46,,,"Schleiger, Todd (U.S. Taxpayers) 373; Kurland, Jennifer V. (Green) 359; Butkovich, Keith (Natural Law) 132; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"17,525",BENZIE,"4,963","Schuette, Bill",Challenger,"4,551","Whitmer, Gretchen",Challenger,L,131,"Gelineau, Bill",Challenger,148,412,R,1.34,52.17,47.83,,,"Schleiger, Todd (U.S. Taxpayers) 61; Kurland, Jennifer V. (Green) 62; Butkovich, Keith (Natural Law) 25; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
