GUBERNATORIAL 2018 IN WISCONSIN
,
Office,State,RaceDate,CensusPop,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
Governor,Wisconsin,20181106,"20,875",ADAMS,"5,209","Walker, Scott",Incumbent,"3,892","Evers, Tony",Challenger,L,68,"Anderson, Phillip N.",Challenger,122,"1,317",R,.73,57.24,42.76,,,"Turnbull, Maggie (Independent) 67; White, Michael J. (Green) 42; Enz, Arnie (Independent) 11; Scattered Write-Ins (Write-in) 2"
Governor,Wisconsin,20181106,"16,157",ASHLAND,"2,584","Walker, Scott",Incumbent,"4,168","Evers, Tony",Challenger,L,49,"Anderson, Phillip N.",Challenger,119,"1,584",D,.71,38.27,61.73,,,"Turnbull, Maggie (Independent) 58; White, Michael J. (Green) 48; Enz, Arnie (Independent) 9; Scattered Write-Ins (Write-in) 4"
Governor,Wisconsin,20181106,"45,870",BARRON,"10,655","Walker, Scott",Incumbent,"7,623","Evers, Tony",Challenger,L,99,"Anderson, Phillip N.",Challenger,191,"3,032",R,.53,58.29,41.71,,,"Turnbull, Maggie (Independent) 111; White, Michael J. (Green) 63; Enz, Arnie (Independent) 16; Scattered Write-Ins (Write-in) 1"
Governor,Wisconsin,20181106,"15,014",BAYFIELD,"3,458","Walker, Scott",Incumbent,"5,152","Evers, Tony",Challenger,L,51,"Anderson, Phillip N.",Challenger,136,"1,694",D,.58,40.16,59.84,,,"Turnbull, Maggie (Independent) 85; White, Michael J. (Green) 43; Enz, Arnie (Independent) 7; Scattered Write-Ins (Write-in) 1"
Governor,Wisconsin,20181106,"248,007",BROWN,"61,424","Walker, Scott",Incumbent,"51,724","Evers, Tony",Challenger,L,"1,040","Anderson, Phillip N.",Challenger,"1,481","9,700",R,.90,54.29,45.71,,,"Turnbull, Maggie (Independent) 810; White, Michael J. (Green) 509; Enz, Arnie (Independent) 115; Scattered Write-Ins (Write-in) 47"
Governor,Wisconsin,20181106,"13,587",BUFFALO,"3,463","Walker, Scott",Incumbent,"2,385","Evers, Tony",Challenger,L,40,"Anderson, Phillip N.",Challenger,88,"1,078",R,.67,59.22,40.78,,,"Turnbull, Maggie (Independent) 50; White, Michael J. (Green) 27; Enz, Arnie (Independent) 10; Scattered Write-Ins (Write-in) 1"
Governor,Wisconsin,20181106,"15,457",BURNETT,"4,664","Walker, Scott",Incumbent,"2,742","Evers, Tony",Challenger,L,31,"Anderson, Phillip N.",Challenger,151,"1,922",R,.41,62.98,37.02,,,"Turnbull, Maggie (Independent) 108; White, Michael J. (Green) 33; Enz, Arnie (Independent) 10"
Governor,Wisconsin,20181106,"48,971",CALUMET,"14,313","Walker, Scott",Incumbent,"8,992","Evers, Tony",Challenger,L,148,"Anderson, Phillip N.",Challenger,250,"5,321",R,.62,61.42,38.58,,,"Turnbull, Maggie (Independent) 145; White, Michael J. (Green) 70; Enz, Arnie (Independent) 35"
Governor,Wisconsin,20181106,"62,415",CHIPPEWA,"15,499","Walker, Scott",Incumbent,"11,739","Evers, Tony",Challenger,L,201,"Anderson, Phillip N.",Challenger,336,"3,760",R,.72,56.90,43.10,,,"Turnbull, Maggie (Independent) 189; White, Michael J. (Green) 116; Enz, Arnie (Independent) 30; Scattered Write-Ins (Write-in) 1"
Governor,Wisconsin,20181106,"34,690",CLARK,"7,469","Walker, Scott",Incumbent,"4,015","Evers, Tony",Challenger,L,74,"Anderson, Phillip N.",Challenger,156,"3,454",R,.63,65.04,34.96,,,"Turnbull, Maggie (Independent) 77; White, Michael J. (Green) 69; Enz, Arnie (Independent) 10"
Governor,Wisconsin,20181106,"56,833",COLUMBIA,"12,363","Walker, Scott",Incumbent,"14,124","Evers, Tony",Challenger,L,212,"Anderson, Phillip N.",Challenger,335,"1,761",D,.78,46.68,53.32,,,"Turnbull, Maggie (Independent) 197; White, Michael J. (Green) 111; Enz, Arnie (Independent) 17; Scattered Write-Ins (Write-in) 10"
Governor,Wisconsin,20181106,"16,644",CRAWFORD,"3,117","Walker, Scott",Incumbent,"3,354","Evers, Tony",Challenger,L,61,"Anderson, Phillip N.",Challenger,72,237,D,.92,48.17,51.83,,,"Turnbull, Maggie (Independent) 35; White, Michael J. (Green) 32; Enz, Arnie (Independent) 5"
Governor,Wisconsin,20181106,"488,073",DANE,"69,206","Walker, Scott",Incumbent,"220,052","Evers, Tony",Challenger,L,"2,281","Anderson, Phillip N.",Challenger,"3,084","150,846",D,.77,23.93,76.07,,,"Turnbull, Maggie (Independent) 1,756; White, Michael J. (Green) 983; Enz, Arnie (Independent) 202; Scattered Write-Ins (Write-in) 142; Davis, William Henry III (Write-in) 1"
Governor,Wisconsin,20181106,"88,759",DODGE,"23,516","Walker, Scott",Incumbent,"13,552","Evers, Tony",Challenger,L,276,"Anderson, Phillip N.",Challenger,466,"9,964",R,.73,63.44,36.56,,,"Turnbull, Maggie (Independent) 245; White, Michael J. (Green) 143; Enz, Arnie (Independent) 78; Scattered Write-Ins (Write-in) 0"
Governor,Wisconsin,20181106,"27,785",DOOR,"8,536","Walker, Scott",Incumbent,"8,151","Evers, Tony",Challenger,L,112,"Anderson, Phillip N.",Challenger,180,385,R,.66,51.15,48.85,,,"Turnbull, Maggie (Independent) 102; White, Michael J. (Green) 63; Enz, Arnie (Independent) 11; Scattered Write-Ins (Write-in) 3; Hoffman, Robbie (Write-in) 1"
Governor,Wisconsin,20181106,"44,159",DOUGLAS,"7,251","Walker, Scott",Incumbent,"11,034","Evers, Tony",Challenger,L,151,"Anderson, Phillip N.",Challenger,323,"3,783",D,.80,39.66,60.34,,,"Turnbull, Maggie (Independent) 191; White, Michael J. (Green) 109; Enz, Arnie (Independent) 13; Scattered Write-Ins (Write-in) 9; Cason, Ryan (Write-in) 1"
Governor,Wisconsin,20181106,"43,857",DUNN,"9,255","Walker, Scott",Incumbent,"8,667","Evers, Tony",Challenger,L,209,"Anderson, Phillip N.",Challenger,326,588,R,1.13,51.64,48.36,,,"Turnbull, Maggie (Independent) 180; White, Michael J. (Green) 119; Enz, Arnie (Independent) 27"
Governor,Wisconsin,20181106,"98,736",EAU CLAIRE,"20,855","Walker, Scott",Incumbent,"26,768","Evers, Tony",Challenger,L,475,"Anderson, Phillip N.",Challenger,735,"5,913",D,.97,43.79,56.21,,,"Turnbull, Maggie (Independent) 410; White, Michael J. (Green) 257; Enz, Arnie (Independent) 42; Scattered Write-Ins (Write-in) 26"
Governor,Wisconsin,20181106,"4,423",FLORENCE,"1,503","Walker, Scott",Incumbent,643,"Evers, Tony",Challenger,L,15,"Anderson, Phillip N.",Challenger,20,860,R,.69,70.04,29.96,,,"Turnbull, Maggie (Independent) 8; White, Michael J. (Green) 10; Enz, Arnie (Independent) 2"
Governor,Wisconsin,20181106,"101,633",FOND DU LAC,"27,941","Walker, Scott",Incumbent,"16,439","Evers, Tony",Challenger,L,311,"Anderson, Phillip N.",Challenger,495,"11,502",R,.69,62.96,37.04,,,"Turnbull, Maggie (Independent) 278; White, Michael J. (Green) 171; Enz, Arnie (Independent) 36; Scattered Write-Ins (Write-in) 10"
Governor,Wisconsin,20181106,"9,304",FOREST,"2,421","Walker, Scott",Incumbent,"1,486","Evers, Tony",Challenger,L,21,"Anderson, Phillip N.",Challenger,54,935,R,.53,61.97,38.03,,,"Turnbull, Maggie (Independent) 27; White, Michael J. (Green) 23; Enz, Arnie (Independent) 4"
Governor,Wisconsin,20181106,"51,208",GRANT,"9,502","Walker, Scott",Incumbent,"9,665","Evers, Tony",Challenger,L,155,"Anderson, Phillip N.",Challenger,275,163,D,.79,49.57,50.43,,,"Turnbull, Maggie (Independent) 160; White, Michael J. (Green) 92; Enz, Arnie (Independent) 18; Scattered Write-Ins (Write-in) 5"
Governor,Wisconsin,20181106,"36,842",GREEN,"7,333","Walker, Scott",Incumbent,"9,378","Evers, Tony",Challenger,L,130,"Anderson, Phillip N.",Challenger,249,"2,045",D,.76,43.88,56.12,,,"Turnbull, Maggie (Independent) 127; White, Michael J. (Green) 100; Enz, Arnie (Independent) 16; Scattered Write-Ins (Write-in) 6"
Governor,Wisconsin,20181106,"19,051",GREEN LAKE,"5,411","Walker, Scott",Incumbent,"2,633","Evers, Tony",Challenger,L,56,"Anderson, Phillip N.",Challenger,84,"2,778",R,.68,67.27,32.73,,,"Turnbull, Maggie (Independent) 50; White, Michael J. (Green) 23; Enz, Arnie (Independent) 9; Scattered Write-Ins (Write-in) 2"
Governor,Wisconsin,20181106,"23,687",IOWA,"4,289","Walker, Scott",Incumbent,"6,674","Evers, Tony",Challenger,L,82,"Anderson, Phillip N.",Challenger,131,"2,385",D,.73,39.12,60.88,,,"Turnbull, Maggie (Independent) 74; White, Michael J. (Green) 43; Enz, Arnie (Independent) 10; Scattered Write-Ins (Write-in) 4"
Governor,Wisconsin,20181106,"5,916",IRON,"1,785","Walker, Scott",Incumbent,"1,264","Evers, Tony",Challenger,L,7,"Anderson, Phillip N.",Challenger,36,521,R,.23,58.54,41.46,,,"Turnbull, Maggie (Independent) 20; White, Michael J. (Green) 12; Enz, Arnie (Independent) 4"
Governor,Wisconsin,20181106,"20,449",JACKSON,"4,129","Walker, Scott",Incumbent,"3,713","Evers, Tony",Challenger,L,69,"Anderson, Phillip N.",Challenger,105,416,R,.86,52.65,47.35,,,"Turnbull, Maggie (Independent) 54; White, Michael J. (Green) 44; Enz, Arnie (Independent) 7"
Governor,Wisconsin,20181106,"83,686",JEFFERSON,"21,475","Walker, Scott",Incumbent,"16,018","Evers, Tony",Challenger,L,275,"Anderson, Phillip N.",Challenger,389,"5,457",R,.72,57.28,42.72,,,"Turnbull, Maggie (Independent) 213; White, Michael J. (Green) 135; Enz, Arnie (Independent) 28; Scattered Write-Ins (Write-in) 13"
Governor,Wisconsin,20181106,"26,664",JUNEAU,"5,689","Walker, Scott",Incumbent,"4,247","Evers, Tony",Challenger,L,90,"Anderson, Phillip N.",Challenger,105,"1,442",R,.89,57.26,42.74,,,"Turnbull, Maggie (Independent) 61; White, Michael J. (Green) 32; Enz, Arnie (Independent) 6; Scattered Write-Ins (Write-in) 6"
Governor,Wisconsin,20181106,"166,426",KENOSHA,"31,512","Walker, Scott",Incumbent,"34,481","Evers, Tony",Challenger,L,727,"Anderson, Phillip N.",Challenger,"1,354","2,969",D,1.07,47.75,52.25,,,"Turnbull, Maggie (Independent) 726; White, Michael J. (Green) 474; Enz, Arnie (Independent) 102; Scattered Write-Ins (Write-in) 52"
Governor,Wisconsin,20181106,"20,574",KEWAUNEE,"5,792","Walker, Scott",Incumbent,"3,572","Evers, Tony",Challenger,L,52,"Anderson, Phillip N.",Challenger,83,"2,220",R,.55,61.85,38.15,,,"Turnbull, Maggie (Independent) 43; White, Michael J. (Green) 27; Enz, Arnie (Independent) 11; Scattered Write-Ins (Write-in) 2"
Governor,Wisconsin,20181106,"114,638",LA CROSSE,"23,537","Walker, Scott",Incumbent,"32,103","Evers, Tony",Challenger,L,586,"Anderson, Phillip N.",Challenger,855,"8,566",D,1.03,42.30,57.70,,,"Turnbull, Maggie (Independent) 475; White, Michael J. (Green) 321; Enz, Arnie (Independent) 58; Grimek, Mark (Write-in) 1"
Governor,Wisconsin,20181106,"16,836",LAFAYETTE,"3,324","Walker, Scott",Incumbent,"3,135","Evers, Tony",Challenger,L,35,"Anderson, Phillip N.",Challenger,70,189,R,.53,51.46,48.54,,,"Turnbull, Maggie (Independent) 39; White, Michael J. (Green) 23; Enz, Arnie (Independent) 7; Scattered Write-Ins (Write-in) 1"
Governor,Wisconsin,20181106,"19,977",LANGLADE,"5,712","Walker, Scott",Incumbent,"2,825","Evers, Tony",Challenger,L,57,"Anderson, Phillip N.",Challenger,671,"2,887",R,.62,66.91,33.09,,,"Turnbull, Maggie (Independent) 639; White, Michael J. (Green) 29; Enz, Arnie (Independent) 3"
Governor,Wisconsin,20181106,"28,743",LINCOLN,"7,865","Walker, Scott",Incumbent,"5,335","Evers, Tony",Challenger,L,99,"Anderson, Phillip N.",Challenger,211,"2,530",R,.73,59.58,40.42,,,"Turnbull, Maggie (Independent) 139; White, Michael J. (Green) 53; Enz, Arnie (Independent) 13; Scattered Write-Ins (Write-in) 6"
Governor,Wisconsin,20181106,"81,442",MANITOWOC,"21,360","Walker, Scott",Incumbent,"13,513","Evers, Tony",Challenger,L,245,"Anderson, Phillip N.",Challenger,438,"7,847",R,.69,61.25,38.75,,,"Turnbull, Maggie (Independent) 246; White, Michael J. (Green) 145; Enz, Arnie (Independent) 39; Scattered Write-Ins (Write-in) 8"
Governor,Wisconsin,20181106,"134,063",MARATHON,"36,886","Walker, Scott",Incumbent,"24,057","Evers, Tony",Challenger,L,416,"Anderson, Phillip N.",Challenger,785,"12,829",R,.67,60.53,39.47,,,"Turnbull, Maggie (Independent) 499; White, Michael J. (Green) 215; Enz, Arnie (Independent) 55; Scattered Write-Ins (Write-in) 16"
Governor,Wisconsin,20181106,"41,749",MARINETTE,"10,916","Walker, Scott",Incumbent,"6,193","Evers, Tony",Challenger,L,113,"Anderson, Phillip N.",Challenger,183,"4,723",R,.65,63.80,36.20,,,"Turnbull, Maggie (Independent) 99; White, Michael J. (Green) 67; Enz, Arnie (Independent) 17"
Governor,Wisconsin,20181106,"15,404",MARQUETTE,"4,143","Walker, Scott",Incumbent,"2,911","Evers, Tony",Challenger,L,49,"Anderson, Phillip N.",Challenger,92,"1,232",R,.68,58.73,41.27,,,"Turnbull, Maggie (Independent) 48; White, Michael J. (Green) 30; Enz, Arnie (Independent) 10; Scattered Write-Ins (Write-in) 4"
Governor,Wisconsin,20181106,"4,232",MENOMINEE,233,"Walker, Scott",Incumbent,866,"Evers, Tony",Challenger,L,6,"Anderson, Phillip N.",Challenger,27,633,D,.53,21.20,78.80,,,"Turnbull, Maggie (Independent) 18; White, Michael J. (Green) 7; Enz, Arnie (Independent) 2"
