SENATE 2018 IN WISCONSIN
,
Office,State,RaceDate,CensusPop,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
Senate,Wisconsin,20181106,"20,875",ADAMS,"4,854","Vukmir, Leah",Challenger,"4,537","Baldwin, Tammy",Incumbent,WR,8,Scattered Write-Ins,Challenger,N/A,317,R,.09,51.69,48.31,,,
Senate,Wisconsin,20181106,"16,157",ASHLAND,"2,351","Vukmir, Leah",Challenger,"4,533","Baldwin, Tammy",Incumbent,WR,8,Scattered Write-Ins,Challenger,N/A,"2,182",D,.12,34.15,65.85,,,
Senate,Wisconsin,20181106,"45,870",BARRON,"9,911","Vukmir, Leah",Challenger,"8,571","Baldwin, Tammy",Incumbent,WR,10,Scattered Write-Ins,Challenger,1,"1,340",R,.05,53.63,46.37,,,"Schiess, John (Write-in) 1"
Senate,Wisconsin,20181106,"15,014",BAYFIELD,"3,233","Vukmir, Leah",Challenger,"5,541","Baldwin, Tammy",Incumbent,WR,1,Scattered Write-Ins,Challenger,N/A,"2,308",D,.01,36.85,63.15,,,
Senate,Wisconsin,20181106,"248,007",BROWN,"55,750","Vukmir, Leah",Challenger,"59,132","Baldwin, Tammy",Incumbent,WR,184,Scattered Write-Ins,Challenger,N/A,"3,382",D,.16,48.53,51.47,,,
Senate,Wisconsin,20181106,"13,587",BUFFALO,"2,968","Vukmir, Leah",Challenger,"2,945","Baldwin, Tammy",Incumbent,WR,4,Scattered Write-Ins,Challenger,N/A,23,R,.07,50.19,49.81,,,
Senate,Wisconsin,20181106,"15,457",BURNETT,"4,289","Vukmir, Leah",Challenger,"3,239","Baldwin, Tammy",Incumbent,WR,N/A,Scattered Write-Ins,Challenger,N/A,"1,050",R,.00,56.97,43.03,,,
Senate,Wisconsin,20181106,"48,971",CALUMET,"12,822","Vukmir, Leah",Challenger,"10,741","Baldwin, Tammy",Incumbent,WR,N/A,Scattered Write-Ins,Challenger,N/A,"2,081",R,.00,54.42,45.58,,,
Senate,Wisconsin,20181106,"62,415",CHIPPEWA,"13,830","Vukmir, Leah",Challenger,"13,798","Baldwin, Tammy",Incumbent,WR,N/A,Scattered Write-Ins,Challenger,1,32,R,.00,50.06,49.94,,,"Schiess, John (Write-in) 1"
Senate,Wisconsin,20181106,"34,690",CLARK,"6,558","Vukmir, Leah",Challenger,"5,084","Baldwin, Tammy",Incumbent,WR,1,Scattered Write-Ins,Challenger,1,"1,474",R,.01,56.33,43.67,,,"Walters, Mary Jo (Write-in) 1"
Senate,Wisconsin,20181106,"56,833",COLUMBIA,"11,674","Vukmir, Leah",Challenger,"15,230","Baldwin, Tammy",Incumbent,WR,36,Scattered Write-Ins,Challenger,N/A,"3,556",D,.13,43.39,56.61,,,
Senate,Wisconsin,20181106,"16,644",CRAWFORD,"2,703","Vukmir, Leah",Challenger,"3,852","Baldwin, Tammy",Incumbent,WR,N/A,Scattered Write-Ins,Challenger,N/A,"1,149",D,.00,41.24,58.76,,,
Senate,Wisconsin,20181106,"488,073",DANE,"65,515","Vukmir, Leah",Challenger,"228,050","Baldwin, Tammy",Incumbent,WR,408,Scattered Write-Ins,Challenger,6,"162,535",D,.14,22.32,77.68,,,"Walters, Mary Jo (Write-in) 4; Schiess, John (Write-in) 2"
Senate,Wisconsin,20181106,"88,759",DODGE,"21,482","Vukmir, Leah",Challenger,"16,007","Baldwin, Tammy",Incumbent,WR,N/A,Scattered Write-Ins,Challenger,1,"5,475",R,.00,57.30,42.70,,,"Walters, Mary Jo (Write-in) 1"
Senate,Wisconsin,20181106,"27,785",DOOR,"7,494","Vukmir, Leah",Challenger,"9,442","Baldwin, Tammy",Incumbent,WR,11,Scattered Write-Ins,Challenger,N/A,"1,948",D,.06,44.25,55.75,,,
Senate,Wisconsin,20181106,"44,159",DOUGLAS,"6,925","Vukmir, Leah",Challenger,"11,689","Baldwin, Tammy",Incumbent,WR,8,Scattered Write-Ins,Challenger,N/A,"4,764",D,.04,37.20,62.80,,,
Senate,Wisconsin,20181106,"43,857",DUNN,"8,623","Vukmir, Leah",Challenger,"9,743","Baldwin, Tammy",Incumbent,WR,N/A,Scattered Write-Ins,Challenger,1,"1,120",D,.00,46.95,53.05,,,"Walters, Mary Jo (Write-in) 1"
Senate,Wisconsin,20181106,"98,736",EAU CLAIRE,"18,957","Vukmir, Leah",Challenger,"29,614","Baldwin, Tammy",Incumbent,WR,67,Scattered Write-Ins,Challenger,4,"10,657",D,.14,39.03,60.97,,,"Walters, Mary Jo (Write-in) 4"
Senate,Wisconsin,20181106,"4,423",FLORENCE,"1,438","Vukmir, Leah",Challenger,729,"Baldwin, Tammy",Incumbent,WR,N/A,Scattered Write-Ins,Challenger,N/A,709,R,.00,66.36,33.64,,,
Senate,Wisconsin,20181106,"101,633",FOND DU LAC,"25,496","Vukmir, Leah",Challenger,"19,065","Baldwin, Tammy",Incumbent,WR,40,Scattered Write-Ins,Challenger,1,"6,431",R,.09,57.22,42.78,,,"Schiess, John (Write-in) 1"
Senate,Wisconsin,20181106,"9,304",FOREST,"2,062","Vukmir, Leah",Challenger,"1,879","Baldwin, Tammy",Incumbent,WR,3,Scattered Write-Ins,Challenger,N/A,183,R,.08,52.32,47.68,,,
